ISO,name,region_ar6_6_ipcc_fgd,region_ar6_10_ipcc_fgd,region_ar6_22_ipcc_fgd,M49_Hi_M49_Regions,M49_Med__M49_Regions,M49_lo_M49_Regions,Developing_2021_M49_other,SIDS_M49_other,LLDC_M49_other,LDC_M49_other,Annex_I_unfccc,Annex _II_unfccc,WMO,EU,OECD,Income _status_WB,Former Soviet Union
BGD,Bangladesh,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,,,LDC,Non-Annex I,,II,,,Lower-middle,
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,,LLDC,LDC,Non-Annex I,,II,,,Lower-middle,
MDV,Maldives,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,SIDS,,,Non-Annex I,,II,,,Upper middle,
NPL,Nepal,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,,LLDC,LDC,Non-Annex I,,II,,,Lower-middle,
PAK,Pakistan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,,,,Non-Annex I,,II,,,Lower-middle,
ARG,Argentina,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Non-Annex I,,III,,,Upper middle,
BOL,Bolivia (Plurinational State of),Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,LLDC,,Non-Annex I,,III,,,Lower-middle,
BVT,Bouvet Island,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Territory,,N/A,,,N/A,
BRA,Brazil,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Non-Annex I,,III,,,Upper middle,
CHL,Chile,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Non-Annex I,,III,,OECD,High,
COL,Colombia,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Non-Annex I,,III,,OECD,Upper middle,
ECU,Ecuador,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Non-Annex I,,III,,,Upper middle,
FLK,Falkland Islands (Malvinas),Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Territory,,N/A,,,N/A,
GUF,French Guiana,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Territory,,N/A,,,N/A,
GUY,Guyana,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,SIDS,,,Non-Annex I,,III,,,Upper middle,
PRY,Paraguay,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,LLDC,,Non-Annex I,,III,,,Upper middle,
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Non-Annex I,,III,,,Upper middle,
SGS,South Georgia and the South Sandwich Islands,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Territory,,N/A,,,N/A,
SUR,Suriname,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,SIDS,,,Non-Annex I,,III,,,Upper middle,
URY,Uruguay,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Non-Annex I,,III,,,High,
VEN,Venezuela (Bolivarian Republic of) ,Latin America and Caribbean,Latin America and Caribbean,South America,Americas,Latin America and the Caribbean,South America,Developing,,,,Non-Annex I,,III,,,Upper middle,
BRN,Brunei Darussalam,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,,,,Non-Annex I,,V,,,High,
KHM,Cambodia,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,,,LDC,Non-Annex I,,II,,,Lower-middle,
IDN,Indonesia,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,,,,Non-Annex I,,V,,,Lower-middle,
LAO,Lao People's Democratic Republic ,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,,LLDC,LDC,Non-Annex I,,II,,,Lower-middle,
MYS,Malaysia,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,,,,Non-Annex I,,V,,,Upper middle,
MMR,Myanmar,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,,,LDC,Non-Annex I,,II,,,Lower-middle,
PHL,Philippines,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,,,,Non-Annex I,,V,,,Lower-middle,
SGP,Singapore,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,SIDS,,,Non-Annex I,,V,,,High,
THA,Thailand,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,,,,Non-Annex I,,II,,,Upper middle,
TLS,Timor-Leste,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,SIDS,,LDC,Non-Annex I,,V,,,Lower-middle,
VNM,Vietnam,Asia and developing Pacific,South-East Asia and developing Pacific,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,,,,Non-Annex I,,II,,,Lower-middle,
HRV,Croatia,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Annex I,,VI,EU,,High,
GIB,Gibraltar,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Territory,,N/A,,,High,
GRC,Greece,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
VAT,Holy See,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Territory,,N/A,,,N/A,
ITA,Italy,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
MLT,Malta,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Annex I,,VI,EU,,High,
MNE,Montenegro,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Non-Annex I,,VI,,,Upper middle,
MKD,North Macedonia,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,LLDC,,Non-Annex I,,VI,,,Upper middle,
PRT,Portugal,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
SMR,San Marino,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Non-Annex I,,VI,,,High,
SRB,Serbia,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Non-Annex I,,VI,,,Upper middle,
SVN,Slovenia,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Annex I,,VI,EU,OECD,High,
ESP,Spain,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,Asia,Western Asia,Western Asia,Developed,,,,Annex I,,VI,EU,,High,
TUR,Turkey,Developed Countries,Europe,Southern and eastern Europe,Asia,Western Asia,Western Asia,Developed,,,,Annex I,Annex II,VI,,OECD,Upper middle,
AUT,Austria,Developed Countries,Europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
BEL,Belgium,Developed Countries,Europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
FRA,France,Developed Countries,Europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
DEU,Germany,Developed Countries,Europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
LIE,Liechtenstein,Developed Countries,Europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,,,,Annex I,,VI,,,High,
LUX,Luxembourg,Developed Countries,Europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
MCO,Monaco,Developed Countries,Europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,,,,Annex I,,VI,,,High,
NLD,Netherlands,Developed Countries,Europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
CHE,Switzerland,Developed Countries,Europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,,,,Annex I,Annex II,VI,,OECD,High,
AGO,Angola,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,LDC,Non-Annex I,,I,,,Lower-middle,
BWA,Botswana,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing,,LLDC,,Non-Annex I,,I,,,Upper middle,
CMR,Cameroon,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
CAF,Central African Republic,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
TCD,Chad,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
COG,Congo,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
COD,Democratic Republic of the Congo,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
GNQ,Equatorial Guinea,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,,Non-Annex I,,I,,,Upper middle,
SWZ,Eswatini,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing,,LLDC,,Non-Annex I,,I,,,Lower-middle,
GAB,Gabon,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,,Non-Annex I,,I,,,Upper middle,
LSO,Lesotho,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Lower-middle,
NAM,Namibia,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing,,,,Non-Annex I,,I,,,Upper middle,
STP,São Tomé and Principe,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,SIDS,,LDC,Non-Annex I,,I,,,Lower-middle,
ZAF,South Africa,Africa,Africa,Southern and middle Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing,,,,Non-Annex I,,I,,,Upper middle,
CAN,Canada,Developed Countries,North America,USA & Canada,Americas,Northern America,Northern America,Developed,,,,Annex I,Annex II,IV,,OECD,High,
USA,United States,Developed Countries,North America,USA & Canada,Americas,Northern America,Northern America,Developed,,,,Annex I,Annex II,IV,,OECD,High,
BEN,Benin,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,LDC,Non-Annex I,,I,,,Lower-middle,
BFA,Burkina Faso,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
CPV,Cabo Verde,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,SIDS,,,Non-Annex I,,I,,,Lower-middle,
CIV,Côte d'Ivoire,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
GMB,Gambia,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
GHA,Ghana,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
GIN,Guinea,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
GNB,Guinea-Bissau,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,SIDS,,LDC,Non-Annex I,,I,,,Low,
LBR,Liberia,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
MLI,Mali,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
MRT,Mauritania,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,LDC,Non-Annex I,,I,,,Lower-middle,
NER,Niger,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
NGA,Nigeria,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
SHN,Saint Helena,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,,Territory,,N/A,,,N/A,
SEN,Senegal,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,LDC,Non-Annex I,,I,,,Lower-middle,
SLE,Sierra Leone,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
TGO,Togo,Africa,Africa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
