ISO,name,region_ar6_6_ipcc_fgd,region_ar6_10_ipcc_fgd,region_ar6_22_ipcc_fgd,M49_Hi_M49_Regions,M49_Med__M49_Regions,M49_lo_M49_Regions,Developing_2021_M49_other,SIDS_M49_other,LLDC_M49_other,LDC_M49_other,Annex_I_unfccc,Annex _II_unfccc,WMO,EU,OECD,Income _status_WB,Former Soviet Union
TZA,United Republic of Tanzania,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,LDC,Non-Annex I,,I,,,Lower-middle,
ZMB,Zambia,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Lower-middle,
ZWE,Zimbabwe,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,LLDC,,Non-Annex I,,I,,,Lower-middle,
CHN,China,Asia and developing Pacific,Eastern Asia,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,,,,Non-Annex I,,II,,,Upper middle,
HKG,"Hong Kong SAR, China",Asia and developing Pacific,Eastern Asia,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,,,,Territory,,N/A,,,High,
PRK,"Korea, Dem. People's Rep.",Asia and developing Pacific,Eastern Asia,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,,,,Non-Annex I,,II,,,Low,
KOR,"Korea, Rep.",Asia and developing Pacific,Eastern Asia,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,,,,Non-Annex I,,II,,OECD,High,
MAC,"Macao SAR, China",Asia and developing Pacific,Eastern Asia,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,,,,Territory,,N/A,,,High,
MNG,Mongolia,Asia and developing Pacific,Eastern Asia,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,,LLDC,,Non-Annex I,,II,,,Lower-middle,
TWN,"Taiwan, China",Asia and developing Pacific,Eastern Asia,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,,,,Territory,,N/A,,,High,
KAZ,Kazakhstan,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,,LLDC,,Non-Annex I,,II,,,Upper middle,FSU
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,,LLDC,,Non-Annex I,,II,,,Lower-middle,FSU
