model,region,variable,unit,year,Historical Reference,SSP1,SSP2,SSP3,SSP4,SSP5,all_equal,all_ssps_equal,hist_ssp2_equal,max_diff
OECD ENV-Growth 2025,Kenya,GDP|PPP [per capita],USD_2017/yr,2025,5402.384048406037,5402.384048406037,5402.384048406037,5402.384048406037,5402.384048406037,5402.384048406037,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Kiribati,GDP|PPP [per capita],USD_2017/yr,2025,1858.887770175419,1858.887770175419,1858.887770175419,1858.887770175419,1858.887770175419,1858.887770175419,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Kosovo,GDP|PPP [per capita],USD_2017/yr,2025,13900.44061029107,13900.44061029107,13900.44061029107,13900.44061029107,13900.44061029107,13900.44061029107,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Kuwait,GDP|PPP [per capita],USD_2017/yr,2025,47704.27038112457,47704.27038112457,47704.27038112457,47704.27038112457,47704.27038112457,47704.27038112457,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Kyrgyzstan,GDP|PPP [per capita],USD_2017/yr,2025,5725.756844959409,5725.756844959409,5725.756844959409,5725.756844959409,5725.756844959409,5725.756844959409,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Laos,GDP|PPP [per capita],USD_2017/yr,2025,8450.914738510137,8450.914738510137,8450.914738510137,8450.914738510137,8450.914738510137,8450.914738510137,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Latin America (R10),GDP|PPP [per capita],USD_2017/yr,2025,15881.94012095602,15881.69414970049,15881.94012095602,15879.7074117977,15882.62318736428,15884.45713939027,FALSE,FALSE,TRUE,4.749727592568888
OECD ENV-Growth 2025,Latin America (R5),GDP|PPP [per capita],USD_2017/yr,2025,15794.7070180854,15794.45990195962,15794.7070180854,15792.46391680927,15795.393263818,15797.23575195153,FALSE,FALSE,TRUE,4.771835142259079
OECD ENV-Growth 2025,Latin America (R9),GDP|PPP [per capita],USD_2017/yr,2025,15794.7070180854,15794.45990195962,15794.7070180854,15792.46391680927,15795.393263818,15797.23575195153,FALSE,FALSE,TRUE,4.771835142259079
OECD ENV-Growth 2025,Latvia,GDP|PPP [per capita],USD_2017/yr,2025,33103.74794650038,32555.29768592049,33103.74794650038,32555.29768592049,32555.29768592049,32555.29768592049,FALSE,FALSE,TRUE,548.450260579888
OECD ENV-Growth 2025,Lebanon,GDP|PPP [per capita],USD_2017/yr,2025,11752.51962608701,11725.32956791713,11752.51962608701,11756.8296291158,11772.70592933512,11742.13184534966,FALSE,FALSE,TRUE,47.376361417989756
OECD ENV-Growth 2025,Lesotho,GDP|PPP [per capita],USD_2017/yr,2025,2522.261320118103,2522.261320118103,2522.261320118103,2522.261320118103,2522.261320118103,2522.261320118103,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Liberia,GDP|PPP [per capita],USD_2017/yr,2025,1572.850027867904,1572.850027867904,1572.850027867904,1572.850027867904,1572.850027867904,1572.850027867904,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Libya,GDP|PPP [per capita],USD_2017/yr,2025,22226.24234435347,22226.24234435347,22226.24234435347,22226.24234435347,22226.24234435347,22226.24234435347,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Lithuania,GDP|PPP [per capita],USD_2017/yr,2025,40645.86869934541,39869.88285569481,40645.86869934541,39869.88285569481,39869.88285569481,39869.88285569481,FALSE,FALSE,TRUE,775.9858436506038
OECD ENV-Growth 2025,Luxembourg,GDP|PPP [per capita],USD_2017/yr,2025,116068.0760131269,115143.6229009252,116068.0760131269,115143.6229009252,115143.6229009252,115143.6229009252,FALSE,FALSE,TRUE,924.453112201707
OECD ENV-Growth 2025,Macao,GDP|PPP [per capita],USD_2017/yr,2025,118446.3490691461,118446.3490691461,118446.3490691461,118446.3490691461,118446.3490691461,118446.3490691461,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Madagascar,GDP|PPP [per capita],USD_2017/yr,2025,1622.329735328031,1622.329735328031,1622.329735328031,1622.329735328031,1622.329735328031,1622.329735328031,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Malawi,GDP|PPP [per capita],USD_2017/yr,2025,1528.313669128998,1528.313669128998,1528.313669128998,1528.313669128998,1528.313669128998,1528.313669128998,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Malaysia,GDP|PPP [per capita],USD_2017/yr,2025,31396.84333692798,31396.84333692798,31396.84333692798,31396.84333692798,31396.84333692798,31396.84333692798,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Maldives,GDP|PPP [per capita],USD_2017/yr,2025,24560.4018765915,24560.4018765915,24560.4018765915,24560.4018765915,24560.4018765915,24560.4018765915,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Mali,GDP|PPP [per capita],USD_2017/yr,2025,2280.361004822781,2280.361004822781,2280.361004822781,2280.361004822781,2280.361004822781,2280.361004822781,TRUE,TRUE,TRUE,0
